63,35.735729,-0.582878
70,35.735725,-0.582892
55,35.735725,-0.582888
68,35.735721,-0.582898
114,35.735725,-0.582897
122,35.735721,-0.582895
125,35.735721,-0.582905
90,35.735721,-0.582905
136,35.735717,-0.582913
144,35.735710,-0.582923
143,35.735710,-0.582925
141,35.735706,-0.582937
132,35.735698,-0.582950
163,35.735698,-0.582948
176,35.735694,-0.582957
184,35.735694,-0.582967
206,35.735694,-0.582965
181,35.735687,-0.582973
131,35.735683,-0.582983
112,35.735683,-0.582982
107,35.735683,-0.582987
118,35.735679,-0.582993
113,35.735683,-0.582990
91,35.735683,-0.582988
93,35.735683,-0.582988
82,35.735683,-0.582985
76,35.735683,-0.582983
140,35.735683,-0.582980
103,35.735683,-0.582978
82,35.735683,-0.582983
214,35.735679,-0.582992
191,35.735679,-0.582988
122,35.735679,-0.582993
83,35.735675,-0.583000
136,35.735675,-0.583007
120,35.735675,-0.583005
171,35.735671,-0.583010
105,35.735668,-0.583017
152,35.735668,-0.583023
146,35.735664,-0.583028
89,35.735664,-0.583032
181,35.735660,-0.583035
129,35.735660,-0.583038
179,35.735656,-0.583042
101,35.735656,-0.583045
71,35.735656,-0.583048
173,35.735656,-0.583053
244,35.735656,-0.583057
266,35.735656,-0.583058
200,35.735652,-0.583062
193,35.735652,-0.583060
127,35.735656,-0.583058
132,35.735656,-0.583057
144,35.735656,-0.583055
68,35.735656,-0.583052
55,35.735656,-0.583050
182,35.735656,-0.583047
376,35.735660,-0.583045
159,35.735660,-0.583042
108,35.735660,-0.583042
80,35.735660,-0.583045
74,35.735660,-0.583045
64,35.735660,-0.583043
72,35.735664,-0.583025
50,35.735668,-0.583018
192,35.735668,-0.583012
171,35.735671,-0.582998
109,35.735675,-0.582987
80,35.735679,-0.582977
67,35.735683,-0.582967
152,35.735687,-0.582960
178,35.735691,-0.582948
102,35.735694,-0.582942
79,35.735694,-0.582938
66,35.735694,-0.582935
63,35.735698,-0.582930
60,35.735698,-0.582927
59,35.735698,-0.582923
108,35.735702,-0.582922
114,35.735702,-0.582920
131,35.735702,-0.582918
149,35.735702,-0.582918
149,35.735702,-0.582917
133,35.735702,-0.582915
